Split,Horizon,Method,LagSet,y_true,y_pred,Store
6,1,XGBoost_MV,mv_lag14,61.0,80.6815414428711,Baltimore
6,2,XGBoost_MV,mv_lag14,73.0,56.53242492675781,Baltimore
6,3,XGBoost_MV,mv_lag14,71.0,64.35468292236328,Baltimore
6,4,XGBoost_MV,mv_lag14,69.0,71.77560424804688,Baltimore
6,5,XGBoost_MV,mv_lag14,77.0,91.5775146484375,Baltimore
6,6,XGBoost_MV,mv_lag14,118.0,123.01404571533203,Baltimore
6,7,XGBoost_MV,mv_lag14,97.0,94.17587280273438,Baltimore
6,1,LinearReg_MV,mv_lag14,61.0,117.3890232389848,Baltimore
6,2,LinearReg_MV,mv_lag14,73.0,53.34918279432941,Baltimore
6,3,LinearReg_MV,mv_lag14,71.0,86.8059866815356,Baltimore
6,4,LinearReg_MV,mv_lag14,69.0,89.74834007319072,Baltimore
6,5,LinearReg_MV,mv_lag14,77.0,133.83715421909764,Baltimore
6,6,LinearReg_MV,mv_lag14,118.0,137.50824831692674,Baltimore
6,7,LinearReg_MV,mv_lag14,97.0,109.44017928144206,Baltimore
7,1,ARIMAX,-,73.0,57.0,Baltimore
7,2,ARIMAX,-,71.0,75.0,Baltimore
7,3,ARIMAX,-,69.0,63.0,Baltimore
7,4,ARIMAX,-,77.0,80.0,Baltimore
7,5,ARIMAX,-,118.0,128.0,Baltimore
7,6,ARIMAX,-,97.0,95.0,Baltimore
7,7,ARIMAX,-,61.0,61.0,Baltimore
7,1,VAR,-,73.0,58.50480122611596,Baltimore
7,2,VAR,-,71.0,91.22592630097799,Baltimore
7,3,VAR,-,69.0,112.48894702327487,Baltimore
7,4,VAR,-,77.0,122.34993067183342,Baltimore
7,5,VAR,-,118.0,123.29713663125791,Baltimore
7,6,VAR,-,97.0,117.1282868487626,Baltimore
7,7,VAR,-,61.0,110.84424985734863,Baltimore
7,1,RandomForest_MV,mv_lag7,73.0,59.69,Baltimore
7,2,RandomForest_MV,mv_lag7,71.0,63.16,Baltimore
7,3,RandomForest_MV,mv_lag7,69.0,69.47,Baltimore
7,4,RandomForest_MV,mv_lag7,77.0,92.41,Baltimore
7,5,RandomForest_MV,mv_lag7,118.0,131.05,Baltimore
7,6,RandomForest_MV,mv_lag7,97.0,102.61,Baltimore
7,7,RandomForest_MV,mv_lag7,61.0,67.08,Baltimore
7,1,XGBoost_MV,mv_lag7,73.0,60.97952651977539,Baltimore
7,2,XGBoost_MV,mv_lag7,71.0,64.5863037109375,Baltimore
7,3,XGBoost_MV,mv_lag7,69.0,70.499755859375,Baltimore
7,4,XGBoost_MV,mv_lag7,77.0,90.83304595947266,Baltimore
7,5,XGBoost_MV,mv_lag7,118.0,133.58572387695312,Baltimore
7,6,XGBoost_MV,mv_lag7,97.0,100.91386413574219,Baltimore
7,7,XGBoost_MV,mv_lag7,61.0,64.25419616699219,Baltimore
7,1,LinearReg_MV,mv_lag7,73.0,56.05004331547023,Baltimore
7,2,LinearReg_MV,mv_lag7,71.0,71.65259668802354,Baltimore
7,3,LinearReg_MV,mv_lag7,69.0,90.31065424880579,Baltimore
7,4,LinearReg_MV,mv_lag7,77.0,115.76759884416728,Baltimore
7,5,LinearReg_MV,mv_lag7,118.0,118.28627014063868,Baltimore
7,6,LinearReg_MV,mv_lag7,97.0,106.26236591318447,Baltimore
7,7,LinearReg_MV,mv_lag7,61.0,41.68480516407787,Baltimore
7,1,RandomForest_MV,mv_lag14,73.0,61.8,Baltimore
7,2,RandomForest_MV,mv_lag14,71.0,63.58,Baltimore
7,3,RandomForest_MV,mv_lag14,69.0,69.73,Baltimore
7,4,RandomForest_MV,mv_lag14,77.0,88.96,Baltimore
7,5,RandomForest_MV,mv_lag14,118.0,132.63,Baltimore
7,6,RandomForest_MV,mv_lag14,97.0,101.05,Baltimore
7,7,RandomForest_MV,mv_lag14,61.0,66.97,Baltimore
7,1,XGBoost_MV,mv_lag14,73.0,57.21589660644531,Baltimore
7,2,XGBoost_MV,mv_lag14,71.0,59.456932067871094,Baltimore
7,3,XGBoost_MV,mv_lag14,69.0,64.59994506835938,Baltimore
7,4,XGBoost_MV,mv_lag14,77.0,74.94052124023438,Baltimore
7,5,XGBoost_MV,mv_lag14,118.0,129.4954833984375,Baltimore
7,6,XGBoost_MV,mv_lag14,97.0,98.00554656982422,Baltimore
7,7,XGBoost_MV,mv_lag14,61.0,61.15022277832031,Baltimore
7,1,LinearReg_MV,mv_lag14,73.0,47.78725341014761,Baltimore
7,2,LinearReg_MV,mv_lag14,71.0,86.84363494036057,Baltimore
7,3,LinearReg_MV,mv_lag14,69.0,87.90089956902882,Baltimore
7,4,LinearReg_MV,mv_lag14,77.0,130.2150209850608,Baltimore
7,5,LinearReg_MV,mv_lag14,118.0,137.59406494403973,Baltimore
7,6,LinearReg_MV,mv_lag14,97.0,112.0857634001805,Baltimore
7,7,LinearReg_MV,mv_lag14,61.0,61.843073415862264,Baltimore
8,1,ARIMAX,-,71.0,75.0,Baltimore
8,2,ARIMAX,-,69.0,63.0,Baltimore
8,3,ARIMAX,-,77.0,80.0,Baltimore
8,4,ARIMAX,-,118.0,128.0,Baltimore
8,5,ARIMAX,-,97.0,95.0,Baltimore
8,6,ARIMAX,-,61.0,61.0,Baltimore
8,7,ARIMAX,-,65.0,73.0,Baltimore
8,1,VAR,-,71.0,107.71171775809283,Baltimore
8,2,VAR,-,69.0,125.83231529216147,Baltimore
8,3,VAR,-,77.0,125.2915486536964,Baltimore
8,4,VAR,-,118.0,123.63331806087807,Baltimore
8,5,VAR,-,97.0,117.66728599691733,Baltimore
8,6,VAR,-,61.0,117.74835952235131,Baltimore
